,0
2004-12-09,100787.29
2004-12-10,101329.19999999998
2004-12-11,93238.85
2004-12-12,86771.555
2004-12-13,100793.70000000001
2004-12-14,102349.53499999999
2004-12-15,102510.62
2004-12-16,102556.785
2004-12-17,102661.51999999999
2004-12-18,94267.41
2004-12-19,88135.605
2004-12-20,101775.63500000001
2004-12-21,102484.575
2004-12-22,102152.37
2004-12-23,102652.98000000001
2004-12-24,98396.995
2004-12-25,87350.965
2004-12-26,86617.845
2004-12-27,99574.42
2004-12-28,99710.565
2004-12-29,97460.80500000001
2004-12-30,98367.9
2004-12-31,94683.44
2005-01-01,83961.675
2005-01-02,83312.68
2005-01-03,96002.98499999999
2005-01-04,100366.33499999999
2005-01-05,100952.79999999999
2005-01-06,101533.86499999999
2005-01-07,101164.72
2005-01-08,92394.12
2005-01-09,86499.78
2005-01-10,99712.605
2005-01-11,102449.67
2005-01-12,103254.94
2005-01-13,104354.20500000002
2005-01-14,104217.69999999998
2005-01-15,95699.235
2005-01-16,89208.08
2005-01-17,101713.38
2005-01-18,102042.38
2005-01-19,101468.95999999999
2005-01-20,101580.57
2005-01-21,88476.965
2005-01-22,93326.095
2005-01-23,88536.145
2005-01-24,102706.895
2005-01-25,103587.56999999999
2005-01-26,103911.725
2005-01-27,104966.78
2005-01-28,104670.55500000001
2005-01-29,95617.13
2005-01-30,89975.715
2005-01-31,103798.135
2005-02-01,104955.76000000001
2005-02-02,104995.51
2005-02-03,105858.35
2005-02-04,105688.35
2005-02-05,96495.64000000001
2005-02-06,88567.75
2005-02-07,98328.10999999999
2005-02-08,90837.06
2005-02-09,81654.665
2005-02-10,82676.01000000001
2005-02-11,93738.79
2005-02-12,90517.465
2005-02-13,88015.725
2005-02-14,102648.97499999999
2005-02-15,106162.23000000001
2005-02-16,108321.53
2005-02-17,108891.51999999999
2005-02-18,107943.91500000001
2005-02-19,99229.32
2005-02-20,92525.16500000001
2005-02-21,107073.44
2005-02-22,107588.205
2005-02-23,108917.95
2005-02-24,110416.69
2005-02-25,110265.87500000001
2005-02-26,101320.025
2005-02-27,94296.16500000001
2005-02-28,107278.59
2005-03-01,108430.13999999998
2005-03-02,109261.85
2005-03-03,107303.3
2005-03-04,107040.76000000001
2005-03-05,99215.995
2005-03-06,92773.41999999998
2005-03-07,106399.25
2005-03-08,106843.29499999998
2005-03-09,106696.69499999999
2005-03-10,108426.075
2005-03-11,107859.695
2005-03-12,99992.43000000001
2005-03-13,93656.5
2005-03-14,108716.095
2005-03-15,109965.46
2005-03-16,110015.94
2005-03-17,111200.255
2005-03-18,110614.60999999999
2005-03-19,100659.475
2005-03-20,94590.975
2005-03-21,108818.78
2005-03-22,110142.82500000001
2005-03-23,109251.55
2005-03-24,109726.45499999999
2005-03-25,95738.11499999999
2005-03-26,98099.155
2005-03-27,91661.37
2005-03-28,105711.71
2005-03-29,107010.735
2005-03-30,107326.52500000001
2005-03-31,106731.595
2005-04-01,107376.565
2005-04-02,97334.23000000001
2005-04-03,92189.23
2005-04-04,102743.26000000001
2005-04-05,103609.31
2005-04-06,103528.09
2005-04-07,105813.51999999999
2005-04-08,106576.225
2005-04-09,95941.025
2005-04-10,92203.785
2005-04-11,105319.82
2005-04-12,105472.26999999999
2005-04-13,107559.125
2005-04-14,107912.11
2005-04-15,106798.57499999998
2005-04-16,99182.64
2005-04-17,92508.72499999999
2005-04-18,106072.985
2005-04-19,108198.60500000001
2005-04-20,108839.005
2005-04-21,109223.87
2005-04-22,109555.755
2005-04-23,101783.07
2005-04-24,96679.03
2005-04-25,110333.52
2005-04-26,113190.63500000001
2005-04-27,113709.68
2005-04-28,112829.925
2005-04-29,112966.555
2005-04-30,103738.23999999999
2005-05-01,94783.06
2005-05-02,95024.065
2005-05-03,111499.565
2005-05-04,112210.41500000001
2005-05-05,111697.63500000001
2005-05-06,108757.98
2005-05-07,101498.775
2005-05-08,93812.46500000001
2005-05-09,108832.565
2005-05-10,109900.49
2005-05-11,109727.42000000001
2005-05-12,107961.185
2005-05-13,110214.185
2005-05-14,103198.19
2005-05-15,95170.82500000001
